ఆఫ్రికా	非洲
లవంగము	丁香
తమిళ అక్షరమాల	泰米爾文
ఓర్కా	虎鯨
టేలర్ స్విఫ్ట్	泰勒·斯威夫特
లాభం	利润
లక్షద్వీపములు	拉克沙群島
ఎపిజెనెటిక్స్	表觀遺傳學
ఇన్ఫోసిస్	Infosys
ఆస్టన్ మార్టిన్	阿斯顿·马丁
సపిండేసి	無患子科
మధ్య ఆసియా	中亚
అడవిలవంగపట్ట	樟属
పైపరేలిస్	胡椒目
డైమ్లెర్‌	戴姆勒
ఎ.వో.ఎల్.	美国在线
ఫెరారీ	法拉利汽車
ఫీనిక్స్ (ప్రజాతి)	刺葵属
క్రిస్తాదేల్ఫియన్లు	基督弟兄會
గానం	歌唱
డాకస్	胡萝卜属
తొక్కుడుబిళ్ళ	跳房子
దాల్చిన చెక్క	桂皮
అయస్కాంత పర్మియబిలిటీ	磁导率
గబ్బిలం	蝙蝠
వెంట్రుక	頭髮
చుట్టుకొలత	周长
మార్టిన్	马汀
మయ నాగరికత	瑪雅文明
ఇంకా సామ్రాజ్యం	印加帝國
మిస్‍క్యారేజ్	流产
కోళికోడ్	科泽科德
పేరడైజ్ లాస్ట్	失樂園
కణాధార ధర్మాలు	依数性
శాండ్‌విచ్	三明治
వస్త్రం	纺织品
ఫీల్డ్స్ పతకం	菲尔兹奖
పైథాన్ (కంప్యూటర్ భాష)	Python
ఇస్లామీయ కేలండర్	伊斯兰历
పిచ్చుక	雀科
విల్లిస్ టవర్	威利斯大廈
అస్సామీ భాష	阿萨姆语
కాబా	克爾白
నీరువావిలి	蔓荆
పాగనిజం	異教
సాంద్రత	密度
చేవ్రొలెట్	雪佛兰
వెబ్‌క్యామ్‌	摄像头
వై-ఫై	Wi-Fi
సమితి నిబంధనలు (చట్టం)	自然权利
పే పర్ క్లిక్	每点击付费
గరాటు	漏斗
నీటి కుక్క	歐亞水獺
కాఫీ దుకాణం	咖啡店
జీప్	吉普汽車
మంచు చిరుత	雪豹
ఆస్పెక్ట్ ఓరియెంటెడ్ ప్రోగ్రామింగ్	面向侧面的程序设计
లూయీ	路易斯
ఏచర్	埃切尔
762	762年
అధ్యక్షుడు	總統
మదర్ థెరీసా	真福加爾各答的德肋撒
సహజభాషావిశ్లేషణ	自然语言处理
కడప	丘德达帕
బ్లాగు	網誌
ఆస్కార్ వైల్డ్	奥斯卡·王尔德
డెంగీ	骨痛熱症
తాడు	繩
గణన యంత్రం	计算器
బూతు	猥褻
జనాభా జన్యుశాస్త్రం	群体遗传学
అక్క	兄弟姊妹
చిలుక	鹦形目
మేనరికం	近親婚姻
మైక్రొగ్లొస్సైన్	棕树凤头鹦鹉
అదితి	阿底提
రోజ్ యాపిల్	蒲桃
అరేబియా ద్వీపకల్పం	阿拉伯半岛
ఎమోటికాన్	表情符号
కూడిక	加法
ముష్టి యుద్ధం	拳击
అమెరికన్ ఎయిర్‌లైన్స్	美國航空
కత్తి	小刀
జెన్నిఫర్ అనిస్టన్	珍妮佛·安妮斯顿
డొమైన్ పేరు	域名
మలాలా యూసఫ్‌జాయ్	马拉拉·优素福扎伊
జీబ్రా	斑馬
మస్జిద్	清真寺
ఎకాన్	阿肯
ఋతుపర్ణ ఘోష్	日普帕诺·高仕
ఛాయా గ్రాహకుడు	攝影師
మొఘల్ సామ్రాజ్యం	莫卧儿帝国
ద్రావిడ భాషలు	达罗毗荼语系
హుబ్బళ్లి	胡布利
ఏలకులు	白豆蔻
సంగ్రహాలయం	博物馆
హరిద్ర	姜黄属
కాశ్మీరీ భాష	克什米爾語
ధృవపు ఎలుగుబంటి	北極熊
కన్నడ భాష	卡纳达语
మెరుపు	闪电
బెర్ట్రాండ్ రస్సెల్	伯特兰·罗素
చేయి	手
ఒడియా భాష	奥里亚语
ఎడ్మండ్ హిల్లరీ	艾德蒙·希拉里
నేపాలీ భాష	尼泊尔语
జనాభా	人口
థియోడర్ రూజ్‌వెల్ట్	西奥多·罗斯福
టూర్ డి ఫ్రాన్స్	环法自行车赛
సెయింట్‌ పీటర్	彼得 (使徒)
నీస్	尼斯
పత్రము	葉
వల్పరైజో	瓦尔帕莱索
నటులు	演員
హాలీవుడ్	好莱坞
జీడి	腰果
అక్షాంశం	纬度
జలపాతము	瀑布
కంచు	青铜
వెన్న	黄油
వేదాంతశాస్త్రం	神學
పాబ్లో నెరుడా	巴勃罗·聂鲁达
ఆక్స్‌ఫర్డ్	牛津
నయాగరా జలపాతం	尼亚加拉瀑布
సంకేత భాష	手語
కొంకణి భాష	孔卡尼语
లినస్ టోర్వాల్డ్స్	林纳斯·托瓦兹
సువార్త	福音书
అలెగ్జాండర్ గ్రాహంబెల్	亚历山大·格拉汉姆·贝尔
జ్యోతిషశాస్త్రం	占星学
సంగీత వాయిద్యం	乐器
హంస	天鹅
సబ్బు	肥皂
బెనజీర్ భుట్టో	贝娜齐尔·布托
షకీరా	夏奇拉
ఆక్స్‌ఫర్డ్ విశ్వవిద్యాలయం	牛津大学
రహదారి	道路
కంపాక్ట్ డిస్క్	CD
హెలికాప్టరు	直升機
అల్ ఖైదా	基地组织
మోటార్ సైకిల్	摩托車
నీటి ఏనుగు	河马
కానుపు	分娩
పది ఆజ్ఞలు	十誡
ఆల్బర్ట్ కామూ	阿尔贝·加缪
ఇసుక	沙
గులాబి	蔷薇属
విశేషణము	形容词
గ్రీక్ పురాణశాస్త్రం	希腊神话
దిక్సూచి	指南针
ప్రజాతి	属 (生物)
రుడ్యార్డ్ కిప్లింగ్	魯德亞德·吉卜林
సాంఘిక శాస్త్రం	社会科学
ద్వీపకల్పము	半岛
ఎక్స్-రే	X射线
ఫ్రెడరిక్ ఎంగెల్స్	弗里德里希·恩格斯
ఎలిజబెత్ టేలర్	伊丽莎白·泰勒
ప్రోవిన్స్	省 (行政區劃)
బొప్పాయి	番木瓜
బ్రిస్బేన్	布里斯班
విటమిన్	维生素
బెంజమిన్ ఫ్రాంక్లిన్	本傑明·富蘭克林
ఐజాక్ అసిమోవ్	艾萨克·阿西莫夫
తోరాహ్	妥拉
కాబేజీ	捲心菜
పోస్టాఫీసు	郵政局
అమెరికా సంయుక్త రాష్ట్రాల అధ్యక్షులు	美国总统列表
సామెతలు	谚语
వెబ్‌సైటు	網站
విల్హేల్మ్ కన్రాడ్ రాంట్జెన్	威廉·伦琴
దర్పణం	鏡子
షైతాన్	撒旦
పద ఉత్పత్తి శాస్త్రం	语源学
బ్రాడ్ పిట్	畢·彼特
కొలంబో	可倫坡
ధ్వనిశాస్త్రం	语音学
కుటుంబము (జీవశాస్త్రం)	科 (生物)
కిటికీ	窗
మదీనా	麦地那
గుహ	洞穴
రెసిల్ మేనియా	摔角狂熱
శ్వేత సౌధం	白宮
రక్షకభటుడు	警察
తెల్ల ఆరెచెట్టు	总状花羊蹄甲
సర్ ఆర్థర్ కోనన్ డోయల్	阿瑟·柯南·道尔
అల్లం	薑
నోబెల్‌ శాంతి బహుమతి	诺贝尔和平奖
హిమానీనదం	冰川
పిట్‌కెయిర్న్ దీవులు	皮特凯恩群岛
జాగ్వర్	美洲豹
జర్‌ట్రూడ్ బేలే ఎలియన్	格特魯德·B·埃利恩
పార్లమెంట్లు	议会
పదార్ధము	物质
వ్యాసం	随笔
సఫారి (వెబ్ బ్రౌజర్)	Safari
కేంబ్రిడ్జ్ విశ్వవిద్యాలయం	剑桥大学
దగ్గు	咳嗽
వంటచెరకు	柴火
రైట్ సోదరులు	莱特兄弟
తుమ్ము	噴嚏
నిద్ర	睡眠
హెక్టారు	公顷
బాప్టిజం	洗禮
ద్రవ్యోల్బణం	通货膨胀
ఉబ్బసము	哮喘
పడవ	艇
హాస్యము	幽默
లంబోర్ఘిని	藍寶堅尼
ఒమర్ ఖయ్యాం	欧玛尔·海亚姆
సుబాబుల్	銀合歡
ల్యాండ్ రోవర్	路虎
వెదురు	竹
కాంగో	刚果
మెర్సిడెస్-బెంజ్	梅賽德斯-賓士
హొ చి మిన్	胡志明
మిన్నియాపోలిస్	明尼阿波利斯
కోలా	無尾熊
ముహమ్మద్ ఆలీ	穆罕默德·阿里
రాత్రి రాణి	夜香木
నేల	土壤
అంజూరం	無花果
లెబ్రాన్ జేమ్స్	勒布朗·詹姆斯
సమితులు	集合 (数学)
రెడ్డివారి నానబాలు	飞扬草
రచయిత	作家
మార్క్ జూకర్‌బర్గ్	马克·扎克伯格
సర్వనామము	代詞
మలయాళ భాష	马拉雅拉姆语
పొడవు	长度
జీవిత చరిత్ర	傳記
పట్టు దారి	丝绸之路
కాల్గరీ	卡尔加里
జోర్డానో బ్రూనో	焦爾達諾·布魯諾
స్వప్నం	夢
టైక్వాండో	跆拳道
ఎలుక	大家鼠
అబెర్డీన్	阿伯丁
రాజనీతి శాస్త్రము	政治学
పిండి	麵粉
రేఖాంశం	经度
ది లయన్ కింగ్	狮子王
పొయ్యి	烤爐
వ్లదీమర్ నబొకొవ్	弗拉基米爾·弗拉基米羅維奇·納博科夫
క్రమము	目 (生物)
గొరిల్లా	大猩猩
వ్యభిచారం	性交易
ద్వినామ నామకరణ	二名法
యుగోస్లేవియా	南斯拉夫
మామత్	猛犸象
పాళీ భాష	巴利语
అంగ్ సాన్ సూకీ	翁山蘇姬
అమెరికా ఆదిమ వాసులు	美洲原住民
రాబర్ట్ ప్యాటిన్సన్	羅伯·派汀森
తలుపు	門 (建築部件)
చతుర్భుజి	四邊形
గోరు	指甲
మాతృభాష	母語
మధుబాల	瑪杜芭拉
పర్వతారోహణం	登山运动
చెరకు	甘蔗
రాబర్ట్ డి నీరో	罗伯特·德尼罗
కుష్టు వ్యాధి	麻风病
వేట	狩獵
జాకీ చాన్	成龍
ముఖం	臉
జింజిబరేసి	薑科
ప్రకటన	廣告
స్వతంత్రం	独立
మేకు	钉子
టామ్ క్రూజ్	湯姆·克魯斯
బాలల దినోత్సవం	兒童節
త్రిత్వము	三位一體
యాహూ!	雅虎
ఆక్లాండ్	奧克蘭都會區
ఫ్లోరెన్స్ నైటింగేల్	弗羅倫斯·南丁格爾
ఫరో	法老
గుల్బర్గా	古尔伯加
ఏకే-47	AK-47突击步枪
ఎథీనా	雅典娜
మీథేన్	甲烷
మరిఉపొల్	马里乌波尔
అవకాడో	鳄梨
ఇంటర్నేషనల్ బిజినెస్ మెషీన్స్	IBM
స్టార్‌బక్స్	星巴克
తరంగము	波
జానీ డెప్	強尼·戴普
ఎర్ర రక్త కణం	红血球
రాబర్ట్ కోచ్	罗伯特·科赫
వ్యాసం (గణిత శాస్త్రము)	直径
ఉపాధ్యాయుడు	教师
కేంద్ర నిఘా సంస్థ	中央情报局
రామాయణము	罗摩衍那
పవిత్ర ఆత్మ	聖靈
ఇంటర్నెట్ మూవీ డేటాబేస్	互联网电影数据库
దలైలామా	达赖喇嘛
ఆక్రొతిరి మరియు ఢెకెలియా	亞克羅提利與德凱利亞
క్లాస్ ఎబనర్	克勞斯·埃布訥
వేరుశనగ	花生
మోకాలు	膝
ఆప్రికాట్	杏
పియరీ క్యూరీ	皮埃尔·居里
కళ్ళద్దాలు	眼鏡
అగ్గిపుల్ల	火柴
తరగతి (జీవశాస్త్రం)	纲
గ్లూకోస్	葡萄糖
ఖగోళ భౌతిక శాస్త్రం	天体物理学
ప్రేమికుల రోజు	情人节
వడగళ్ళు	冰雹
ఊసరవెల్లి	變色龍
ఉస్మాన్ ఇబ్న్ అఫ్ఫాన్	奥斯曼·本·阿凡
భూస్వామ్య విధానం	封建制度 (歐洲)
వారసవాహిక	染色体
షార్లోట్టేస్ వెబ్ (1973 సినిమా)	夏洛特的网 (1973年电影)
పర్యావరణ వ్యవస్థ	生态系统
ఆక్లాండ్ గ్రామర్ స్కూలు	奧克蘭文法學校
రిఫ్రిజిరేటర్	冰箱
మిల్వాకీ, విస్కాన్సిన్	密尔沃基
శైవలాలు	藻類
నటాలీ పోర్ట్‌మన్	娜塔莉·波特曼
జలసంధి	海峡
తపాలా బిళ్ళ	邮票
చిలగడదుంప	番薯
గ్రెగర్ జోహన్ మెండల్	孟德爾
కెంర్టెన్	克恩顿州
యాంగోన్	仰光
సెయింట్ లూయిస్	圣路易斯 (密苏里州)
ఎగ్జిస్టెన్షియలిజం	存在主义
వన్య శాస్త్రము	林业
నానాజాతి సమితి	國際聯盟
సమురాయ్	武士 (日本)
నాసికాస్థులు	鼻骨
ఆధునిక చిత్రకళ	现代艺术
హెలెన్ కెల్లర్	海倫·凱勒
ఎన్య	恩雅
ప్రాథమిక విభజన	门 (生物)
ఇంగ్లాండ్ రాజు హెన్రీ VIII	亨利八世
న్యూటన్ సూత్రాలు	牛顿运动定律
కొలంబియా, దక్షిణ కెరొలిన	哥伦比亚 (南卡罗来纳州)
బాక్సర్ (కుక్క)	拳師犬
మిలియను	1000000
దేవనాగరి	天城文
పుచ్చ	西瓜
బంగాళాఖాతము	孟加拉灣
వంట	烹饪
గాలి మర	風車 (動力機)
ఆయతొల్లాహ్ ఖొమైనీ	鲁霍拉·穆萨维·霍梅尼
విభూది తులసి	羅勒
లేజర్	激光
వార్త (న్యూస్)	新闻
జ్వరం	发热
అంతర్జాతీయ మహిళా దినోత్సవం	国际妇女节
వోరార్ల్‌బెర్గ్	福拉尔贝格州
పీసా టవర్	比萨斜塔
సూక్ష్మ అర్థ శాస్త్రము	微观经济学
లీడ్స్	利兹
చిట్టెలుక	小鼠属
ఘనపరిమాణము	体积
గొడ్డలి	斧
సర్రియలిజం	超现实主义
పాల్ పాట్	波尔布特
ఎమ్మా వాట్సన్	艾瑪·沃特森
ట్రాక్టర్	拖拉机
బ్లూటూత్	藍牙
సాధనసంపత్తి	工具
పీడనం	压强
పెట్రోల్	汽油
మైటోకాండ్రియా	線粒體
క్రిస్టియాన్ హైగెన్స్	克里斯蒂安·惠更斯
అలీ ఇబ్న్ అబీ తాలిబ్	阿里·本·阿比·塔利卜
పలవల దుప్పి	驯鹿
పెనెలోప్ క్రజ్	佩内洛普·克鲁兹
స్థూల ఆర్థిక శాస్త్రము	宏观经济学
రసవాదం	炼金术
దీపస్తంభం	灯塔
ది రేస్క్యూయర్స్	救難小英雄 (迪士尼)
ఇత్తడి	黃銅
జ్యాక్ నికల్సన్	杰克·尼科尔森
విక్రయం	市场营销
లోయ	谷地
జనాభా గణన	人口普查
సూక్ష్మజీవి	微生物
రేడియో స్టూడియో 54 నెట్వర్క్	第54演播室電台聯播網
స్నాయువు	韧带
బాదం	扁桃
చతుర్వేదాలు	吠陀
నోస్ట్రడామస్	諾斯特拉達姆士
సౌర శక్తి	太阳能
సిల్వెస్టర్ స్టాలోన్	席維斯·史特龍
పానీయం	饮料
కంప్యూటర్ ప్రోగ్రామ్	计算机程序
సముద్రతీరం	灘
ఇటుక	磚
ఆక్టోపస్	章鱼
లావా	熔岩
తులాదండము	杠杆
నియాండర్తల్	尼安德特人
అంతరిక్ష నౌక	航天器
కార్ల్ బెంజ్	卡尔·本茨
ఎన్నికలు	選舉
మారథాన్	马拉松
గుణకారం	乘法
ఆత్మరక్షణ	自衛
ది ఫాక్స్ ఎండ్ ది హౌండ్	狐狸与猎狗
గుడ్ ఫ్రైడే	耶穌受難節
న్యాయవాది	律師
కారాగారము	監獄
కణజాలము	组织 (生物学)
ఇంప్రెషనిజం	印象派
బఫెలో, న్యూయార్క్	水牛城
పర్వేజ్ ముషార్రఫ్	佩尔韦兹·穆沙拉夫
జూలియా రాబర్ట్స్	茱莉娅·罗伯茨
రాశి	黃道帶
సుమో యోధులు	相撲
శిలాజము	化石
తీసివేత	減法
విత్తనము	種子
పీత	螃蟹
శస్త్ర చికిత్స	外科学
కత్తెర	剪刀
ఎడ్వర్డ్ జెన్నర్	愛德華·詹納
సహజ వాయువు	天然气
ఊర్ట్ మబ్బు	奥尔特云
విషం	毒物
డోరిస్ లెస్సింగ్	多丽丝·莱辛
అతిసారం	腹瀉
అండమాన్ నికోబార్ దీవులు	安达曼-尼科巴群岛
డంబో	小飞象
వర్జీనియా వూల్ఫ్	弗吉尼亚·吴尔夫
మూత్రం	尿
ప్రార్థన	祷告
వాల్‌రస్	海象
ఒరంగుటాన్	猩猩屬
హిజ్బుల్లాహ్	真主党
నుదురు	前额
రాం నారాయణ్	拉姆·那拉扬
సవాయి	梅毒
స్కిజోఫ్రీనియా	精神分裂症
మార్టిన్ స్కోర్సెస్	马丁·斯科塞斯
హెరాక్లిటస్	赫拉克利特
నిరుద్యోగం	失業
సోనీ	索尼
బిగ్ బెన్	大本钟
బార్పేట	巴貝塔縣
నాటింగ్‌హామ్	诺丁汉
ద్రవ్యవేగం	动量
జాన్‌ డాల్టన్	约翰·道尔顿
రాకెట్	火箭
నైట్ టెంప్లర్	圣殿骑士团
ఉపకళా కణజాలము	上皮組織
బాబీ ఫిషర్	鮑比·菲舍爾
పంపరపనస	葡萄柚
సమగ్ర దృశ్యం	全景图
చారు (సూప్)	汤
మైఖేల్ జెఫ్రీ జోర్డాన్	迈克尔·乔丹
నిజామాబాదు మండలం	尼扎马巴德
మొలలు	痔疮
శవ పరీక్ష	驗屍
ది గుడ్, ది బాడ్ అండ్ ది అగ్లీ	黃昏三鑣客
న్యాయస్థానము	法院
తంజావూరు	坦贾武尔
వేరు	根
కేశ ఉసిరి	鵝莓
సీమ తంగేడు	翼柄决明
స్టాన్ఫోర్డ్ విశ్వవిద్యాలయం	史丹佛大學
వింబుల్డన్ ఛాంపియన్‌షిప్స్	温布尔登网球锦标赛
ఫ్రాంక్ లాంపార్డ్	法蘭·林柏特
గ్రీన్ హౌస్ ప్రభావం	温室效应
ఆల్కేన్	烷烃
గొడుగు	傘
ధనియాలు	芫荽
భారత జాతీయపతాకం	印度国旗
గిన్నీస్ ప్రపంచ రికార్డులు	吉尼斯世界纪录大全
కంచర గాడిద	骡
పరికల్పన	假说
గ్రాము	克
వారం రోజుల పేర్లు	星期中的日子
షహాద	清真言
అధిక రక్తపోటు	高血壓
పాల్ న్యూమాన్	保羅·紐曼
మన్మోహన్ సింగ్	曼莫汉·辛格
రోసా పార్క్స్	羅莎·帕克斯
అంతర్జాతీయ అణు శక్తి మండలి	国际原子能机构
భిల్వార జిల్లా	皮爾瓦拉縣
తాహితీ	大溪地
బార్మర్ జిల్లా	巴爾梅爾縣
ఖదీజా	海迪彻
షామానిజం	萨满教
దుమ్ములగొండి	鬣狗科
గోబీ ఎడారి	戈壁
డెంజెల్ వాషింగ్టన్	丹泽尔·华盛顿
పర్యాయపదం	同义词
పిరుదు	臀
బకింగ్ హామ్ పాలెస్	白金汉宫
బొంగైగావ్	邦蓋岡縣
కచార్	察查縣
కొడవలి	镰刀
తాటాకు ఆదివారం	棕枝主日
పరిశోధన	研究
రైబోసోము	核糖体
యూనిఫాం రిసోర్స్ లొకేటర్	统一资源定位符
లోయ యొక్క పథం	觀谷大廈
గూగుల్ ఎర్త్	Google地球
పొద	灌木
అంతర్భేధం యొక్క విశ్లేషణము	方差分析
శంకువు	圆锥
అంతర్జాతీయ మాతృభాషా దినోత్సవం	國際母語日
యుఎస్‌బి	通用串行總線
తెల్ల రక్తకణాలు	白血球
తాలిబాన్	塔利班
షెఫీల్డ్	谢菲尔德
అనగ్జిమాండర్	阿那克西曼德
దర్రాంగ్	達讓縣
ధెమాజి	德馬傑縣
డిబ్రూగర్	迪布鲁格尔县
ధుబ్రి	杜布日縣
మల్ల యుద్ధం	摔跤
కాటి పెర్రీ	姬蒂·佩芮
ఇంధనం	燃料
హైలకండి	海拉坎迪縣
గోలాఘాట్	革拉嘎縣
సింధు లోయ నాగరికత	印度河流域文明
కరీంగంజ్	卡仁甘傑縣
విస్లావా సింబోర్స్‌కా	維斯拉瓦·辛波絲卡
కర్బి ఆంగ్లాంగ్	卡比昂隆縣
పసుపు	薑黃
జేమ్స్ కామెరాన్	詹姆斯·卡梅隆
కైరా నైట్లీ	姬拉·麗莉
మోచేయి	肘
ఎంపీ౩	MP3
కోక్రఝార్	科克拉贾县
పాలస్తీనా	巴勒斯坦民族权力机构
గేదె	水牛
మారిగావ్	馬日岡縣
లఖింపూర్	拉金普縣
తిన్‌ సుకియా	丁蘇吉亞縣
జీవావరణం	生物圈
సోనిత్‌పూర్	索尼特普縣
దిమా హసాయో	北卡查山縣
నల్బరి	納巴日縣
బోరోబుదూర్	婆羅浮屠
ఇవాన్ తుర్గేనెవ్	伊万·谢尔盖耶维奇·屠格涅夫
ప్రవక్త	先知
గాలిపటం	风筝
నికోలస్ కేజ్	尼古拉斯·凯奇
వాహనము	载具
శ్రీ కృష్ణుడు	黑天
అరారియా	阿拉里亚县
ఉత్పరివర్తనము	突变
మోక్షం	涅槃
ఆగ్రా	阿格拉
గోడ	墙
నూనె	油
ఋతుపవనాలు	季风
వాస్తుశిల్పి	建筑师
బేసిక్	BASIC
అలర్జీ	过敏
పచ్చబొట్టు	刺青
స్పటికం	石英
జెలగ	蚂蟥
సంక్షిప్త సందేశ సేవ	簡訊
ఎలక్ట్రికల్ ఇంజనీరింగ్	電機工程學
హీమోగ్లోబిన్	血红蛋白
బ్యాంబి	小鹿斑比
అక్ష రాజ్యాలు	轴心国
అనావృష్టి	干旱
హైన్రిచ్ హిమ్లెర్	海因里希·希姆莱
నల్ల మిరియాలు	黑胡椒
ఔరంగాబాద్, బీహార్	奧蘭加巴德縣
కెంపు	红宝石
వర్గం:వికీపీడియా ప్రశ్నలు	Wikipedia:常见问题解答
లైకెన్	地衣
మొసలి	鱷科
స్వర్గం గుహ	天堂洞
పత్రహరితం	叶绿素
భీమా	保險
సంస్థ	组织 (社会学)
పోయేసి	禾本科
చార్లెస్, వేల్స్ యొక్క యువరాజు	威爾斯親王查爾斯
విక్టోరియా జలపాతం	莫西奧圖尼亞瀑布
జింకో	银杏
టైమ్ పత్రిక)	時代 (雜誌)
పవన విద్యుత్తు	風能
జానపద సంగీతం	民俗音樂
జలాలుద్దీన్ ముహమ్మద్ రూమి	鲁米
హ్యారీ పోట్టర్ అండ్ ది ఫిలాసఫర్స్ స్టోన్	哈利·波特与魔法石
కాకి	乌鸦
సి.బి.ఎస్.	CBS (電視網)
డిస్కవరీ ఛానల్	探索頻道
ఈసపు	伊索
చండీగఢ్	昌迪加尔
ముత్యము	珍珠
ఆడ	雌性
శతపది	蜈蚣
మానవజాతి శాస్త్రం	民族学
ఫిరదౌసి	菲爾多西
ఆంగ్‌కోర్ వాట్	吴哥窟
సహజ ఎంపిక	自然选择
బావి	井
జంతు ప్రదర్శనశాల	動物園
నైట్ విష్	夜愿
సోంపు	小茴香
కే2	喬戈里峰
సాపేక్ష సిద్ధాంతం	相对论
ఫ్రెంచ్ ఓపెన్	法国网球公开赛
పర్యావరణము	自然环境
హమ్మింగ్ పక్షి	蜂鸟
గుత్తాధిపత్యం	垄断
కివి	鷸鴕
కొలెస్ట్రాల్	膽固醇
బెర్ముడా ట్రయాంగిల్	百慕達三角
ఆండ్రెస్ ఇనిఎస్తా	安德烈斯·伊涅斯塔
ఒయాసిస్సు	綠洲
కనుబొమలు	眉毛
టర్కీ (పక్షి)	火雞
నాభి	肚脐
అకశేరుకాలు	无脊椎动物
పాస్‌పోర్ట్	护照
ఎడీ మర్ఫీ	艾迪·墨菲
జాక్ ది రిప్పర్	開膛手傑克
బర్డ్ ఫ్లూ	禽流感
కాంబ్రిటేసి	使君子科
రీస్ విథర్‌స్పూన్	麗絲·韋花絲潘
క్రిస్ జెరిఖో	克里斯·傑利可
మగ	雄性
హల్క్ హొగన్	霍克·霍肯
బ్రాంప్టన్	布兰普顿
చంద్ర గ్రహణం	月食
మిషెల్ ఫూకొ	米歇尔·福柯
సల్మాన్ రష్దీ	薩爾曼·魯西迪
జిహాద్	圣战
గ్నోమ్(GNOME)	GNOME
పురాణము	传说
వాలెంతినా తెరిష్కోవా	瓦莲京娜·捷列什科娃
సొరంగం	隧道
నెక్ టై	领带
రసాయన బంధం	化学键
విన్స్ మెక్‌మాన్‌	文斯·麥馬漢
గోల్డెన్ గేట్ వంతెన	金门大桥
ఫాబేసి	豆科
ఒర్లాండో బ్లూమ్	奥兰多·布鲁姆
బల్లెము	槍
పియర్ సైమన్ లాప్లేస్	皮埃尔-西蒙·拉普拉斯
ది గ్రేట్ ఖలీ	巨人哈利
గానుగ	研磨
త్రవ్వకాలు(గనుల)	采矿业
మహమ్మారి	流行病
సెల్మా లాగర్‌లోఫ్	塞尔玛·拉格洛夫
దేవాలయం	神庙
గ్నూ	GNU
విద్యాధర్ సూరజ్ ప్రసాద్ నైపాల్	V·S·奈波爾
ఉపవాసము	禁食
ఇకైనోడెర్మేటా	棘皮动物
నౌకాశ్రయం	港口
మల్బరీ	桑树
సుహార్తో	蘇哈托
సన్ డూంగ్ కేవ్	山水洞
లిండ్సే లోహాన్	琳賽·蘿涵
సుడోకు	數獨
బిందువు (జ్యామితి)	点
అలెక్స్ ఫెర్గూసన్	亚历克斯·弗格森
ఎంట్రోపి	熵
లకుముకి పిట్ట	翠鸟
అనుకరణ	模擬
యముడు	閻摩
మదన గింజ	亚麻
సిమెంటు	水泥
పిస్టన్	活塞
ది డోర్స్	門戶樂團
బ్రహ్మపుత్రా నది	布拉马普特拉河
బ్రిటిష్‌ కౌన్సిల్‌	英國文化協會
స్వస్తిక్	卐
దెయ్యం	鬼
విలియం వర్డ్స్ వర్త్	威廉·华兹华斯
డెన్నిస్ రిచీ	丹尼斯·里奇
మీకాయీల్	米迦勒
యూకలిప్టస్	桉树
చెత్త	垃圾
షార్లోట్టేస్ వెబ్	夏洛特的网
విశ్వనాథన్ ఆనంద్	维斯瓦纳坦·阿南德
పనస	波罗蜜
రోలు మరియు రోకలి	研缽和研杵
జలచర ప్రదర్శనశాల	水族箱
సత్యేంద్రనాథ్ బోస్	薩特延德拉·納特·玻色
కింగ్ ఆర్థర్	亚瑟王
వరకట్నం	嫁妆
బాణం	箭
ఎఱ్ఱకోట	德里红堡
ఇండియన్ ఇన్‌స్టిట్యూట్ ఆఫ్ మేనేజ్‌మెంట్ బెంగుళూరు	印度管理研究所邦加羅爾分校
చెవుల పిల్లి	兔属
దాద్రా నగరు హవేలీ	达德拉-纳加尔哈维利
మానవతావాదం	人文主义
జీయాస్ విగ్రహం-ఒలింపియా	奧林匹亞宙斯神像
గతి శక్తి	动能
రోసేసి	蔷薇科
తాబేలు	陸龜
పులిట్జర్ బహుమానం	普利策奖
ఛార్లెస్‌ బాబేజ్‌	查尔斯·巴贝奇
రక్త పిశాచి	吸血鬼
ఫిజి హిందీ	斐濟印地文
అమీబా	變形蟲
హ్యారీ పాటర్ అండ్ ది గోబ్లెట్ ఆఫ్ ఫైర్	哈利·波特与火焰杯
హ్యారీ పాటర్ అండ్ ది డెత్లీ హాలోస్	哈利·波特与死亡圣器
వంగారి మాథాయ్	旺加里·马塔伊
భగవద్గీత	薄伽梵歌
ది టైమ్స్ ఆఫ్ ఇండియా	印度时报
ఇస్రేల్ మ్యూజియం	以色列博物館
ఉంగరము	戒指
హ్యారీ పాటర్ అండ్ ది హాఫ్ బ్లడ్ ప్రిన్స్	哈利·波特与“混血王子”
జిఎస్ఎమ్	全球移动通信系统
పలి జిల్లా	帕里縣
గాబ్రో	輝長岩
బుగ్గ	臉頰
జీవవైవిధ్యం	生物多樣性
రూబిక్స్ క్యూబ్	魔方
ఐశ్వర్య రాయ్	艾西瓦娅·巴克罕
మానభంగం	强奸
బొక్కెన	水桶
ఎల్ఎక్స్‌డిఇ(LXDE)	LXDE
క్రిస్మస్ చెట్టు	圣诞树
కు క్లక్స్ క్లాన్	三K党
బ్రాహ్మణులు	婆罗门
అటకామా ఎడారి	阿他加马沙漠
యజుర్వేదం	夜柔吠陀
వినియోగదారు ఇంటర్‌ఫేస్	用户界面
హ్యారీ పాటర్ అండ్ ది ఛాంబర్ ఆఫ్ సీక్రెట్స్	哈利·波特与密室
